入库时间,站点编号,站点名称,平面坐标系X,平面坐标系y,观测时间,当前雨量开始时间,当前雨量结束时间,当前雨量(毫米),近1小时雨量开始时间,近1小时雨量结束时间,近1小时雨量(毫米),近3小时雨量开始时间,近3小时雨量结束时间,近3小时雨量(毫米)
2017/6/1 0:00:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/5/31 23:50:00,2017/5/31 23:00:00,2017/5/31 23:50:00,0,2017/5/31 22:50:00,2017/5/31 23:50:00,0,2017/5/31 20:50:00,2017/5/31 23:50:00,0
2017/6/1 0:10:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1,2017/5/31 23:00:00,2017/6/1,0,2017/5/31 23:00:00,2017/6/1,0,2017/5/31 21:00:00,2017/6/1,0
2017/6/1 0:20:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 0:10:00,2017/6/1,2017/6/1 0:10:00,0,2017/5/31 23:10:00,2017/6/1 0:10:00,0,2017/5/31 21:10:00,2017/6/1 0:10:00,0
2017/6/1 0:30:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 0:20:00,2017/6/1,2017/6/1 0:20:00,0,2017/5/31 23:20:00,2017/6/1 0:20:00,0,2017/5/31 21:20:00,2017/6/1 0:20:00,0
2017/6/1 0:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 0:30:00,2017/6/1,2017/6/1 0:30:00,0,2017/5/31 23:30:00,2017/6/1 0:30:00,0,2017/5/31 21:30:00,2017/6/1 0:30:00,0
2017/6/1 0:50:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 0:40:00,2017/6/1,2017/6/1 0:40:00,0,2017/5/31 23:40:00,2017/6/1 0:40:00,0,2017/5/31 21:40:00,2017/6/1 0:40:00,0
2017/6/1 1:00:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 0:50:00,2017/6/1,2017/6/1 0:50:00,0,2017/5/31 23:50:00,2017/6/1 0:50:00,0,2017/5/31 21:50:00,2017/6/1 0:50:00,0
2017/6/1 1:10:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 1:00:00,2017/6/1,2017/6/1 1:00:00,0,2017/6/1,2017/6/1 1:00:00,0,2017/5/31 22:00:00,2017/6/1 1:00:00,0
2017/6/1 1:20:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 1:10:00,2017/6/1 1:00:00,2017/6/1 1:10:00,0,2017/6/1 0:10:00,2017/6/1 1:10:00,0,2017/5/31 22:10:00,2017/6/1 1:10:00,0
2017/6/1 1:30:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 1:20:00,2017/6/1 1:00:00,2017/6/1 1:20:00,0,2017/6/1 0:20:00,2017/6/1 1:20:00,0,2017/5/31 22:20:00,2017/6/1 1:20:00,0
2017/6/1 1:40:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 1:30:00,2017/6/1 1:00:00,2017/6/1 1:30:00,0,2017/6/1 0:30:00,2017/6/1 1:30:00,0,2017/5/31 22:30:00,2017/6/1 1:30:00,0
2017/6/1 1:50:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 1:40:00,2017/6/1 1:00:00,2017/6/1 1:40:00,0,2017/6/1 0:40:00,2017/6/1 1:40:00,0,2017/5/31 22:40:00,2017/6/1 1:40:00,0
2017/6/1 10:00:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 9:50:00,2017/6/1 9:00:00,2017/6/1 9:50:00,0,2017/6/1 8:50:00,2017/6/1 9:50:00,0,2017/6/1 6:50:00,2017/6/1 9:50:00,0
2017/6/1 10:10:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 10:00:00,2017/6/1 9:00:00,2017/6/1 10:00:00,0,2017/6/1 9:00:00,2017/6/1 10:00:00,0,2017/6/1 7:00:00,2017/6/1 10:00:00,0
2017/6/1 10:20:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 10:10:00,2017/6/1 10:00:00,2017/6/1 10:10:00,0,2017/6/1 9:10:00,2017/6/1 10:10:00,0,2017/6/1 7:10:00,2017/6/1 10:10:00,0
2017/6/1 10:30:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 10:20:00,2017/6/1 10:00:00,2017/6/1 10:20:00,0,2017/6/1 9:20:00,2017/6/1 10:20:00,0,2017/6/1 7:20:00,2017/6/1 10:20:00,0
2017/6/1 10:30:12,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 10:20:00,2017/6/1 10:00:00,2017/6/1 10:20:00,0,2017/6/1 9:20:00,2017/6/1 10:20:00,0,2017/6/1 7:20:00,2017/6/1 10:20:00,0
2017/6/1 10:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 10:30:00,2017/6/1 10:00:00,2017/6/1 10:30:00,0,2017/6/1 9:30:00,2017/6/1 10:30:00,0,2017/6/1 7:30:00,2017/6/1 10:30:00,0
2017/6/1 10:50:13,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 10:40:00,2017/6/1 10:00:00,2017/6/1 10:40:00,0,2017/6/1 9:40:00,2017/6/1 10:40:00,0,2017/6/1 7:40:00,2017/6/1 10:40:00,0
2017/6/1 11:00:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 10:50:00,2017/6/1 10:00:00,2017/6/1 10:50:00,0,2017/6/1 9:50:00,2017/6/1 10:50:00,0,2017/6/1 7:50:00,2017/6/1 10:50:00,0
2017/6/1 11:20:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 11:10:00,2017/6/1 11:00:00,2017/6/1 11:10:00,0,2017/6/1 10:10:00,2017/6/1 11:10:00,0,2017/6/1 8:10:00,2017/6/1 11:10:00,0
2017/6/1 11:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 11:20:00,2017/6/1 11:00:00,2017/6/1 11:20:00,0,2017/6/1 10:20:00,2017/6/1 11:20:00,0,2017/6/1 8:20:00,2017/6/1 11:20:00,0
2017/6/1 11:50:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 11:40:00,2017/6/1 11:00:00,2017/6/1 11:40:00,0,2017/6/1 10:40:00,2017/6/1 11:40:00,0,2017/6/1 8:40:00,2017/6/1 11:40:00,0
2017/6/1 12:00:10,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 11:50:00,2017/6/1 11:00:00,2017/6/1 11:50:00,0,2017/6/1 10:50:00,2017/6/1 11:50:00,0,2017/6/1 8:50:00,2017/6/1 11:50:00,0
2017/6/1 12:10:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:00:00,2017/6/1 11:00:00,2017/6/1 12:00:00,0,2017/6/1 11:00:00,2017/6/1 12:00:00,0,2017/6/1 9:00:00,2017/6/1 12:00:00,0
2017/6/1 12:20:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:10:00,2017/6/1 12:00:00,2017/6/1 12:10:00,0,2017/6/1 11:10:00,2017/6/1 12:10:00,0,2017/6/1 9:10:00,2017/6/1 12:10:00,0
2017/6/1 12:30:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:20:00,2017/6/1 12:00:00,2017/6/1 12:20:00,0,2017/6/1 11:20:00,2017/6/1 12:20:00,0,2017/6/1 9:20:00,2017/6/1 12:20:00,0
2017/6/1 12:40:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:30:00,2017/6/1 12:00:00,2017/6/1 12:30:00,0,2017/6/1 11:30:00,2017/6/1 12:30:00,0,2017/6/1 9:30:00,2017/6/1 12:30:00,0
2017/6/1 12:50:07,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:40:00,2017/6/1 12:00:00,2017/6/1 12:40:00,0,2017/6/1 11:40:00,2017/6/1 12:40:00,0,2017/6/1 9:40:00,2017/6/1 12:40:00,0
2017/6/1 13:00:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 12:50:00,2017/6/1 12:00:00,2017/6/1 12:50:00,0,2017/6/1 11:50:00,2017/6/1 12:50:00,0,2017/6/1 9:50:00,2017/6/1 12:50:00,0
2017/6/1 13:10:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:00:00,2017/6/1 12:00:00,2017/6/1 13:00:00,0,2017/6/1 12:00:00,2017/6/1 13:00:00,0,2017/6/1 10:00:00,2017/6/1 13:00:00,0
2017/6/1 13:20:09,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:10:00,2017/6/1 13:00:00,2017/6/1 13:10:00,0,2017/6/1 12:10:00,2017/6/1 13:10:00,0,2017/6/1 10:10:00,2017/6/1 13:10:00,0
2017/6/1 13:30:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:20:00,2017/6/1 13:00:00,2017/6/1 13:20:00,0,2017/6/1 12:20:00,2017/6/1 13:20:00,0,2017/6/1 10:20:00,2017/6/1 13:20:00,0
2017/6/1 13:40:08,F1001,奥体中心,427463.220891693,2879831.72600656,2017/6/1 13:30:00,2017/6/1 13:00:00,2017/6/1 13:30:00,0,2017/6/1 12:30:00,2017/6/1 13:30:00,0,2017/6/1 10:30:00,2017/6/1 13:30:00,0
