current_time:2018-05-20 13:01:49
batchsize:24,epochs:800,rate:0.02X:5,Y:1,per_time:10
epochs:0,train_loss:0.218702489344,validation_loss:0.230214510992
epochs:1,train_loss:0.224888171838,validation_loss:0.218098870584
epochs:2,train_loss:0.203246400251,validation_loss:0.206785233637
epochs:3,train_loss:0.262971683193,validation_loss:0.195020944702
epochs:4,train_loss:0.190567211475,validation_loss:0.184804771862
epochs:5,train_loss:0.175732830528,validation_loss:0.175164722366
epochs:6,train_loss:0.191736463286,validation_loss:0.165769472629
epochs:7,train_loss:0.206005761616,validation_loss:0.156393547419
epochs:8,train_loss:0.141854225432,validation_loss:0.148302295338
epochs:9,train_loss:0.134081714051,validation_loss:0.140851882819
epochs:10,train_loss:0.134929826461,validation_loss:0.133747915041
epochs:11,train_loss:0.119294349232,validation_loss:0.127107723944
epochs:12,train_loss:0.109975275422,validation_loss:0.120927172762
epochs:13,train_loss:0.124559907056,validation_loss:0.114586574233
epochs:14,train_loss:0.112731750566,validation_loss:0.108772088975
epochs:15,train_loss:0.102091931442,validation_loss:0.103335859192
epochs:16,train_loss:0.104717909559,validation_loss:0.0980220699343
epochs:17,train_loss:0.0997780354951,validation_loss:0.093028171344
epochs:18,train_loss:0.10354116337,validation_loss:0.0880894418876
epochs:19,train_loss:0.166138912732,validation_loss:0.0827614337731
epochs:20,train_loss:0.0723998169006,validation_loss:0.0787616872782
epochs:21,train_loss:0.140789257563,validation_loss:0.074183314634
epochs:22,train_loss:0.071310965918,validation_loss:0.070578374112
epochs:23,train_loss:0.0594853240948,validation_loss:0.0672786661077
epochs:24,train_loss:0.0663944038686,validation_loss:0.0640017421603
epochs:25,train_loss:0.0585437794224,validation_loss:0.0609565005229
epochs:26,train_loss:0.0614593098046,validation_loss:0.0580103721091
epochs:27,train_loss:0.0532703736275,validation_loss:0.0553298677747
epochs:28,train_loss:0.0553250734212,validation_loss:0.0526498379597
epochs:29,train_loss:0.0653343174817,validation_loss:0.0498891767952
epochs:30,train_loss:0.0501100933574,validation_loss:0.0474881224919
epochs:31,train_loss:0.0405620723182,validation_loss:0.04537196635
epochs:32,train_loss:0.0390718499704,validation_loss:0.0433707184562
epochs:33,train_loss:0.0371782137271,validation_loss:0.0414550461352
epochs:34,train_loss:0.0384404155134,validation_loss:0.0396269956873
epochs:35,train_loss:0.0728650750444,validation_loss:0.0375976097748
epochs:36,train_loss:0.033389766308,validation_loss:0.0359730936781
epochs:37,train_loss:0.0313952007765,validation_loss:0.0344683754184
epochs:38,train_loss:0.0476816271057,validation_loss:0.0327454436779
epochs:39,train_loss:0.0375350748349,validation_loss:0.0313333830738
epochs:40,train_loss:0.0201994158881,validation_loss:0.0301899898061
epochs:41,train_loss:0.0224109983012,validation_loss:0.0290266454328
epochs:42,train_loss:0.0142416692197,validation_loss:0.0280935286681
epochs:43,train_loss:0.0569910943983,validation_loss:0.0267774515236
epochs:44,train_loss:0.0239457628877,validation_loss:0.0257273318318
epochs:45,train_loss:0.0184199310063,validation_loss:0.0248129172647
epochs:46,train_loss:0.0137852226138,validation_loss:0.0239955038812
epochs:47,train_loss:0.0168604463398,validation_loss:0.0231755139469
